Cutoff,Time (2 threads),Time (4 threads),Time (8 threads),Time (16 threads)
25500,264,185,343,293
26000,117,84,131,166
26500,88,52,57,58
27000,79,53,50,54
27500,97,55,47,50
28000,63,73,48,75
28500,62,52,78,48
29000,67,49,54,49
29500,71,55,57,48
30000,66,64,54,49
30500,69,83,49,48
31000,60,53,51,45
31500,57,53,47,47
32000,97,52,45,45
32500,67,55,44,42
33000,58,54,46,42
33500,64,73,44,43
34000,59,52,45,42
34500,58,48,46,40
35000,57,53,47,41
35500,61,52,42,43
36000,56,48,39,45
36500,59,55,45,45
37000,58,58,43,42
37500,56,50,40,44
38000,58,50,44,42
38500,56,48,46,43
39000,60,48,55,41
39500,57,49,48,43
40000,61,48,45,45
40500,43,44,57,55
41000,46,49,52,51
41500,47,46,48,51
42000,43,44,46,46
42500,43,45,45,51
43000,43,46,44,47
43500,43,47,44,48
44000,48,49,47,47
44500,43,49,52,49
45000,49,44,66,46
45500,44,44,62,47
46000,43,44,54,44
46500,43,47,54,51
47000,43,49,52,52
47500,48,50,54,55
48000,48,60,59,54
48500,45,52,60,52
49000,46,48,54,55
49500,48,55,54,55
50000,50,51,53,55
