Cutoff,Time (2 threads),Time (4 threads),Time (8 threads),Time (16 threads)
51000,392,344,429,572
52000,144,151,162,159
53000,114,118,86,105
54000,143,128,89,105
55000,136,117,70,77
56000,104,92,68,72
57000,103,92,70,107
58000,105,95,74,76
59000,98,92,69,72
60000,102,116,67,72
61000,81,87,79,80
62000,84,81,75,78
63000,77,77,83,85
64000,80,83,78,82
65000,88,84,85,75
66000,80,100,75,78
67000,79,117,73,75
68000,82,99,79,73
69000,79,94,76,77
70000,81,83,73,88
71000,82,81,72,79
72000,81,82,75,96
73000,75,78,79,85
74000,80,85,78,73
75000,84,81,73,79
76000,95,83,80,76
77000,85,101,75,75
78000,91,86,76,80
79000,88,80,73,87
80000,94,78,77,81
81000,89,80,79,86
82000,83,83,74,81
83000,78,84,76,83
84000,79,87,81,84
85000,82,87,78,82
86000,87,89,82,72
87000,79,87,78,71
88000,82,82,84,82
89000,85,87,79,76
90000,76,93,73,80
91000,81,89,80,80
92000,94,92,70,85
93000,91,89,74,78
94000,79,90,76,80
95000,88,88,83,79
96000,86,89,81,86
97000,94,92,81,83
98000,89,92,88,87
99000,88,85,88,87
100000,87,81,83,88
