Cutoff,Time (2 threads),Time (4 threads),Time (8 threads),Time (16 threads)
2550,94,76,49,50
2600,42,34,33,33
2650,39,36,28,33
2700,33,39,22,29
2750,37,36,20,31
2800,30,31,19,29
2850,33,31,19,7
2900,37,20,18,7
2950,35,20,17,6
3000,31,21,17,5
3050,25,19,15,6
3100,24,19,6,6
3150,26,22,7,5
3200,25,23,7,5
3250,18,20,5,5
3300,14,16,5,5
3350,13,12,4,4
3400,13,10,5,5
3450,12,8,4,4
3500,12,10,5,5
3550,10,9,5,5
3600,9,7,5,4
3650,10,8,4,5
3700,9,7,4,4
3750,10,7,5,5
3800,9,7,5,5
3850,10,7,5,4
3900,9,6,5,5
3950,9,8,5,5
4000,9,7,5,4
4050,10,6,5,5
4100,9,7,6,5
4150,10,7,5,5
4200,10,7,5,6
4250,10,14,5,4
4300,10,22,5,4
4350,10,16,5,5
4400,11,8,6,5
4450,10,8,5,5
4500,11,9,6,4
4550,10,10,5,4
4600,10,10,5,5
4650,11,9,6,5
4700,11,9,5,5
4750,13,9,5,6
4800,13,9,5,5
4850,16,10,6,6
4900,15,12,5,5
4950,14,9,5,8
5000,12,11,5,23
